YEAR,EQ_PRIMARY,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,La,Lo
1977,7.2,TONGA,TONGA TRENCH,-25.856,-175.406,0,-90
1977,5.1,ROMANIA,ROMANIA:  VELINGRAD,42.11,23.97,90,90
1977,4.9,IRAN,IRAN:  GORGAN,36.73,55.04,90,90
1977,7.4,ARGENTINA,ARGENTINA:  SAN JUAN PROVINCE:  MENDOZA,-31.03,-67.77,0,0
1977,5.8,IRAN,IRAN:  BAB-TANGOL,30.95,56.47,90,90
1978,6.6,JAPAN,"JAPAN:  TOKKAIDO, OSHIMA",34.809,139.259,90,180
1978,7.7,KERMADEC ISLANDS (NEW ZEALAND),KERMADEC ISLANDS:  S OF,-30.68,-177.36,0,-90
1978,4.5,TURKEY,TURKEY,39.69,39.79,90,90
1978,6.1,JAPAN,"JAPAN:  OFUNATO, TOHOKU",38.78,141.95,90,180
1978,5,ITALY,ITALY:  SICILY,38.1,16.03,90,90
1978,5.9,PAKISTAN,"PAKISTAN:  QUETTA, NUSHKI",29.926,66.302,90,90
1978,6.6,MEXICO,MEXICO:  ACAPULCO,17.03,-99.74,90,-90
1978,6.7,RUSSIA,RUSSIA:  KURIL ISLANDS,44.026,149.002,90,180
1978,6.6,RUSSIA,RUSSIA:  KURIL ISLANDS,44.14,149.029,90,180
1978,6.8,RUSSIA,RUSSIA:  KURIL ISLANDS,44.209,148.971,90,180
1978,7.5,RUSSIA,RUSSIA:  KURIL ISLANDS,44.932,148.439,90,180
1978,7.6,RUSSIA,RUSSIA:  KURIL ISLANDS,44.244,148.862,90,180
1978,7.1,KAZAKHSTAN,KAZAKHSTAN:  ALMA-ATA,42.839,78.606,90,90
1978,5.7,SERBIA,BALKANS NW:  SERBIA:  BRUS,43.269,20.919,90,90
1978,5.7,ITALY,ITALY:  SICILY,38.391,15.066,90,90
1978,5.6,GREECE,"GREECE:  THESSALONIKI, VOLVI, LANGADAS",40.759,23.268,90,90
1978,4.9,JAPAN,JAPAN:  S HONSHU:  HIROSHIMA,35.1,132.6,90,180
